# Creation Date: 2018-Jan-09
|    ion |       wave | NIST | Instr | amplitude |      Source |
|  Ar II |  3083.8731 |    1 |     0 |        10 |        NIST |
|  Th II |  3083.8886 |    1 |     0 |       430 |        NIST |
|  Th II |  3083.9012 |    1 |     0 |       240 |        NIST |
|  Ar II |  3084.0880 |    1 |     0 |         1 |        NIST |
|  Th II |  3084.1927 |    1 |     0 |       640 | NIST+MURPHY |
|  Th II |  3084.5195 |    1 |     0 |        52 |        NIST |
|  Th II |  3084.6727 |    1 |     0 |         6 |        NIST |
|  Th II |  3084.7406 |    1 |     0 |       130 |        NIST |
|  Th II |  3085.1747 |    1 |     0 |        13 |        NIST |
|  Th II |  3085.2307 |    1 |     0 |        19 |        NIST |
|  Th II |  3085.4041 |    1 |     0 |       190 |        NIST |
|  Th II |  3085.4198 |    1 |     0 |        13 |        NIST |
|  Th II |  3085.5848 |    1 |     0 |         6 |        NIST |
|  Ar II |  3085.9232 |    1 |     0 |        19 |        NIST |
|   Th I |  3085.9339 |    1 |     0 |         6 |        NIST |
|   Th I |  3085.9799 |    1 |     0 |         5 |        NIST |
|  Th II |  3086.0609 |    1 |     0 |        24 |        NIST |
| UNKNWN |  3086.3683 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3087.0432 |    1 |     0 |        12 |        NIST |
|  Th II |  3087.2576 |    1 |     0 |        84 |        NIST |
|  Th II |  3087.3622 |    1 |     0 |        18 |        NIST |
| UNKNWN |  3087.4630 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3087.6008 |    1 |     0 |       140 |        NIST |
|   Th I |  3087.7483 |    1 |     0 |        86 |        NIST |
|  Th II |  3087.9634 |    1 |     0 |        12 |        NIST |
|  Th II |  3088.1712 |    1 |     0 |        72 |        NIST |
|  Th II |  3088.3079 |    1 |     0 |        78 |        NIST |
|  Th II |  3088.4144 |    1 |     0 |       120 |        NIST |
|  Th II |  3088.5870 |    1 |     0 |        70 |        NIST |
|  Ar II |  3089.1118 |    1 |     0 |         8 |        NIST |
|   Th I |  3089.1317 |    1 |     0 |        25 |        NIST |
|  Th II |  3089.3663 |    1 |     0 |      1500 | NIST+MURPHY |
|  Th II |  3089.4236 |    1 |     0 |        97 |        NIST |
|   Th I |  3089.4647 |    1 |     0 |       150 |        NIST |
|  Th II |  3089.7336 |    1 |     0 |       150 |        NIST |
|  Ar II |  3089.8070 |    1 |     0 |         3 |        NIST |
|  Th II |  3089.8639 |    1 |     0 |        25 |        NIST |
|  Th II |  3090.5231 |    1 |     0 |       210 |        NIST |
|  Th II |  3090.5961 |    1 |     0 |         6 |        NIST |
|  Th II |  3090.9717 |    1 |     0 |       120 |        NIST |
|  Th II |  3090.9908 |    1 |     0 |       720 | NIST+MURPHY |
|  Th II |  3091.0823 |    1 |     0 |        78 |        NIST |
| UNKNWN |  3091.5780 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3092.1875 |    1 |     0 |         6 |        NIST |
|  Th II |  3092.5516 |    1 |     0 |       120 |        NIST |
|  Th II |  3093.2300 |    1 |     0 |       120 | NIST+MURPHY |
|  Th II |  3093.3499 |    1 |     0 |        12 |        NIST |
|   Th I |  3093.7269 |    1 |     0 |       320 | NIST+MURPHY |
|  Th II |  3093.8440 |    1 |     0 |       140 |        NIST |
|  Th II |  3093.9501 |    1 |     0 |       540 | NIST+MURPHY |
|   Th I |  3093.9999 |    1 |     0 |        25 |        NIST |
|  Th II |  3094.0939 |    1 |     0 |        31 |        NIST |
|  Th II |  3094.1520 |    1 |     0 |        50 |        NIST |
|  Ar II |  3094.2998 |    1 |     0 |        68 | NIST+MURPHY |
|   Th I |  3094.6169 |    1 |     0 |        95 |        NIST |
|   Th I |  3095.2712 |    1 |     0 |         3 |        NIST |
|  Th II |  3095.6046 |    1 |     0 |       250 | NIST+MURPHY |
|  Th II |  3095.6887 |    1 |     0 |        79 |        NIST |
