|  ion |        wave | NIST | amplitude | Instr |          Source |
|  ThI | 3927.975727 |    1 |      4400 |    32 | Louis_Pepe_2007 |
| ThII |  3928.28831 |    1 |      2764 |    32 | Louis_Pepe_2007 |
| ThII |  3928.53333 |    1 |      4077 |    32 | Louis_Pepe_2007 |
|  ThI | 3928.918288 |    1 |      5249 |    32 | Louis_Pepe_2007 |
| ArII | 3929.735911 |    1 |    204080 |    32 | Louis_Pepe_2007 |
|  ThI | 3929.976286 |    1 |     13675 |    32 | Louis_Pepe_2007 |
|  ThI |  3930.40268 |    1 |     24606 |    32 | Louis_Pepe_2007 |
| ThII | 3930.781812 |    1 |    173922 |    32 | Louis_Pepe_2007 |
|  ThI | 3932.198057 |    1 |      1536 |    32 | Louis_Pepe_2007 |
| ThII | 3933.339774 |    1 |      3809 |    32 | Louis_Pepe_2007 |
| ArII | 3933.660215 |    1 |    105302 |    32 | Louis_Pepe_2007 |
|  ThI | 3934.024787 |    1 |    141439 |    32 | Louis_Pepe_2007 |
|  ThI |  3934.14796 |    1 |      5339 |    32 | Louis_Pepe_2007 |
|  ThI |  3934.35128 |    1 |      9434 |    32 | Louis_Pepe_2007 |
| ThII | 3934.468265 |    1 |       550 |    32 | Louis_Pepe_2007 |
|  ThI | 3935.174234 |    1 |      1419 |    32 | Louis_Pepe_2007 |
| ThII |  3937.05462 |    1 |      1374 |    32 | Louis_Pepe_2007 |
| ThII | 3938.154423 |    1 |      6099 |    32 | Louis_Pepe_2007 |
| ThII | 3939.038998 |    1 |      4275 |    32 | Louis_Pepe_2007 |
|  ThI | 3939.266365 |    1 |      3384 |    32 | Louis_Pepe_2007 |
| ThII | 3939.537359 |    1 |      1540 |    32 | Louis_Pepe_2007 |
|  ThI | 3939.728657 |    1 |     15778 |    32 | Louis_Pepe_2007 |
| ThII | 3939.896379 |    1 |      3045 |    32 | Louis_Pepe_2007 |
|  ThI | 3940.433837 |    1 |      3483 |    32 | Louis_Pepe_2007 |
|  ThI | 3941.820828 |    1 |      2746 |    32 | Louis_Pepe_2007 |
|  ThI | 3941.957028 |    1 |      3320 |    32 | Louis_Pepe_2007 |
|  ThI | 3942.250925 |    1 |      1031 |    32 | Louis_Pepe_2007 |
| ThII | 3943.969126 |    1 |       745 |    32 | Louis_Pepe_2007 |
|  ThI | 3944.023875 |    1 |      5650 |    32 | Louis_Pepe_2007 |
| ThII | 3944.375749 |    1 |      2366 |    32 | Louis_Pepe_2007 |
| ThII | 3944.510363 |    1 |      8892 |    32 | Louis_Pepe_2007 |
|  ThI | 3944.575833 |    1 |      9340 |    32 | Louis_Pepe_2007 |
|  ThI | 3944.720956 |    1 |     11490 |    32 | Louis_Pepe_2007 |
| ThII | 3944.806641 |    1 |      4537 |    32 | Louis_Pepe_2007 |
|  ThI | 3946.322802 |    1 |      2516 |    32 | Louis_Pepe_2007 |
| ThII | 3946.624094 |    1 |     10683 |    32 | Louis_Pepe_2007 |
| ThII | 3946.937116 |    1 |      8014 |    32 | Louis_Pepe_2007 |
| ArII | 3947.214113 |    1 |    333084 |    32 | Louis_Pepe_2007 |
