|  ion |       wave | NIST | Instr | amplitude |     Source |
| Xe I |    14854.1 |  1.0 |   0.0 |       600 |       NIST |
| Ar I |    14880.6 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I | 14933.8864 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |   14965.98 |  1.0 |   0.0 |     24000 |       NIST |
| Kr I |   14977.83 |  1.0 |   0.0 |       900 |       NIST |
| Ne I | 14990.4149 |  1.0 |   0.0 |      1200 |       NIST |
| Kr I |   15009.44 |  1.0 |   0.0 |      5800 |       NIST |
| Ar I |   15050.61 |  1.0 |   0.0 |      1000 |       NIST |
| Xe I |    15103.8 |  1.0 |   0.0 |       650 |       NIST |
| Ne I | 15144.2356 |  1.0 |   0.0 |       650 |       NIST |
| Ar I |   15176.84 |  1.0 |   0.0 |     13000 |       NIST |
| Ne I | 15195.0832 |  1.0 |   0.0 |       750 |       NIST |
| Kr I |    15213.7 |  1.0 |   0.0 |     15000 |       NIST |
| Ne I | 15234.8765 |  1.0 |   0.0 |     38000 |       NIST |
| Ar I |   15306.06 |  1.0 |   0.0 |     13000 |       NIST |
| Kr I |   15330.67 |  1.0 |   0.0 |      6800 |       NIST |
| Ar I |   15333.53 |  1.0 |   0.0 |      8300 |       NIST |
| Ar I |    15353.5 |  1.0 |   0.0 |      2500 | U Kentucky |
| Ar I |   15357.32 |  1.0 |   0.0 |      2000 |       NIST |
| Kr I |  15376.242 |  1.0 |   0.0 |     39000 |       NIST |
| Kr I |  15399.179 |  1.0 |   0.0 |       400 |       NIST |
| Ar I |   15406.85 |  1.0 |   0.0 |      1800 |       NIST |
| Ne I | 15411.8032 |  1.0 |   0.0 |       400 |       NIST |
| Xe I |   15422.22 |  1.0 |   0.0 |     48700 |       NIST |
| Kr I |   15437.85 |  1.0 |   0.0 |       800 |       NIST |
| Kr I |  15475.236 |  1.0 |   0.0 |       400 |       NIST |
| Kr I |  15478.261 |  1.0 |   0.0 |     49000 |       NIST |
| Xe I |    15495.2 |  1.0 |   0.0 |       550 |       NIST |
| Ar I |   15559.71 |  1.0 |   0.0 |       550 |       NIST |
| Xe I |    15561.4 |  1.0 |   0.0 |      1900 |       NIST |
| Ne I | 15608.4777 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |   15639.25 |  1.0 |   0.0 |      1450 |       NIST |
| Kr I |   15685.28 |  1.0 |   0.0 |      7700 |       NIST |
| Kr I |   15691.07 |  1.0 |   0.0 |       200 |       NIST |
| Ar I |   15739.21 |  1.0 |   0.0 |       250 |       NIST |
| Kr I |   15775.75 |  1.0 |   0.0 |       400 |       NIST |
| Ar I |   15780.93 |  1.0 |   0.0 |       200 |       NIST |
| Ar I |    15821.1 |  1.0 |   0.0 |       500 |       NIST |
| Kr I |  15824.412 |  1.0 |   0.0 |      5500 |       NIST |
| Kr I |   15827.18 |  1.0 |   0.0 |       750 |       NIST |
| Xe I |    15870.8 |  1.0 |   0.0 |      1000 |       NIST |
| Ar I |   15887.51 |  1.0 |   0.0 |      1200 |       NIST |
| Kr I |   15895.02 |  1.0 |   0.0 |      4400 |       NIST |
| Ar I |   15904.03 |  1.0 |   0.0 |      3300 |       NIST |
| Kr I |   15930.13 |  1.0 |   0.0 |      1700 |       NIST |
| Xe I |    15983.9 |  1.0 |   0.0 |      2950 |       NIST |
| Ar I |   15993.86 |  1.0 |   0.0 |     11000 |       NIST |
| Xe I |    16044.3 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |    16056.7 |  1.0 |   0.0 |       550 |       NIST |
| Xe I |   16057.66 |  1.0 |   0.0 |     11900 |   ESO List |
| Kr I |    16090.5 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I |  16102.884 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |   16113.73 |  1.0 |   0.0 |       750 |       NIST |
| Ar I |   16127.06 |  1.0 |   0.0 |      1800 |       NIST |
| Ar I |   16184.44 |  1.0 |   0.0 |      2500 |       NIST |
| Kr I |   16248.74 |  1.0 |   0.0 |       300 |       NIST |
| Ar I |   16268.51 |  1.0 |   0.0 |       470 |       NIST |
