# Creation Date: 2023-10-30
# taken from linelist in https://www2.keck.hawaii.edu/inst/hires/observing.html
# and plots in https://www2.keck.hawaii.edu/inst/hires/ThAr_atlas.html
# converted to vacuum, and matched to NIST,
# see dev_algorithms/wavelengths/hires_ThAr_linelist/create_hires_ThAr_list.py in PypeIt-development-suite
# for wavelength ranges not covered in the Keck webpage, we use NIST+MURPHY from ThAr_lines.dat
|    ion |       wave | NIST | Instr | amplitude |      Source |
|  Th II |  3365.6521 |    1 |     0 |       530 |   Keck+NIST |
|   Th I |  3366.1042 |    1 |     0 |       490 |   Keck+NIST |
|   Th I |  3366.3050 |    1 |     0 |      1800 |   Keck+NIST |
|   Th I |  3368.5495 |    1 |     0 |      1100 |   Keck+NIST |
|  Th II |  3368.7863 |    1 |     0 |      1400 |   Keck+NIST |
|  Th II |  3372.7651 |    1 |     0 |      2300 |   Keck+NIST |
|   Th I |  3373.7909 |    1 |     0 |       970 |   Keck+NIST |
|   Th I |  3374.4613 |    1 |     0 |      2400 |   Keck+NIST |
|  Th II |  3375.5505 |    1 |     0 |       610 |   Keck+NIST |
|   Th I |  3375.9440 |    1 |     0 |      4700 |   Keck+NIST |
|  Ar II |  3377.4054 |    1 |     0 |       155 |   Keck+NIST |
|  Th II |  3379.5434 |    1 |     0 |      1800 |   Keck+NIST |
|   Th I |  3381.8302 |    1 |     0 |      2400 |   Keck+NIST |
|  Th II |  3384.0780 |    1 |     0 |       500 |   Keck+NIST |
|  Th II |  3386.5034 |    1 |     0 |      1400 |   Keck+NIST |
|  Th II |  3387.4727 |    1 |     0 |      1200 |   Keck+NIST |
|   Th I |  3388.8930 |    1 |     0 |       840 |   Keck+NIST |
|  Ar II |  3389.5034 |    1 |     0 |       195 |   Keck+NIST |
|   Th I |  3390.4361 |    1 |     0 |      1900 |   Keck+NIST |
|  Th II |  3390.6134 |    1 |     0 |      1800 |   Keck+NIST |
|   Th I |  3391.3412 |    1 |     0 |       980 |   Keck+NIST |
|   Th I |  3392.8448 |    1 |     0 |      1600 |   Keck+NIST |
|  Th II |  3393.0085 |    1 |     0 |     11000 |   Keck+NIST |
|   Th I |  3394.3953 |    1 |     0 |       320 |   Keck+NIST |
|   Th I |  3394.9670 |    1 |     0 |       310 |   Keck+NIST |
|  Th II |  3395.7712 |    1 |     0 |       500 |   Keck+NIST |
|   Th I |  3397.7025 |    1 |     0 |      4100 |   Keck+NIST |
|   Th I |  3398.4910 |    1 |     0 |      8500 |   Keck+NIST |
|   Th I |  3399.5200 |    1 |     0 |      7700 |   Keck+NIST |
|   Th I |  3402.6870 |    1 |     0 |       990 |   Keck+NIST |
|  Th II |  3403.0024 |    1 |     0 |       510 |   Keck+NIST |
|  Th II |  3403.6715 |    1 |     0 |      3800 |   Keck+NIST |
|  Th II |  3405.6276 |    1 |     0 |       260 |   Keck+NIST |
|   Th I |  3406.5353 |    1 |     0 |      4000 |   Keck+NIST |
|  Th II |  3407.2189 |    1 |     0 |       360 |   Keck+NIST |
|   Th I |  3408.8077 |    1 |     0 |       330 |   Keck+NIST |
|   Th I |  3409.7276 |    1 |     0 |      4600 |   Keck+NIST |
|  Th II |  3410.2478 |    1 |     0 |       480 |   Keck+NIST |
|   Th I |  3411.0538 |    1 |     0 |       400 |   Keck+NIST |
|   Th I |  3413.9919 |    1 |     0 |      4900 |   Keck+NIST |
|   Th I |  3416.8642 |    1 |     0 |       750 |   Keck+NIST |
|   Th I |  3418.4778 |    1 |     0 |      1500 |   Keck+NIST |
|  Th II |  3419.7558 |    1 |     0 |      1400 |   Keck+NIST |
|  Th II |  3420.1537 |    1 |     0 |       970 |   Keck+NIST |
|   Th I |  3422.1910 |    1 |     0 |     11000 |   Keck+NIST |
|   Th I |  3423.6374 |    1 |     0 |      2300 |   Keck+NIST |
|  Th II |  3424.1106 |    1 |     0 |      1000 |   Keck+NIST |
|   Th I |  3424.9713 |    1 |     0 |     11000 |   Keck+NIST |
|   Th I |  3426.4168 |    1 |     0 |       140 |   Keck+NIST |
|  Th II |  3426.9258 |    1 |     0 |       300 |   Keck+NIST |
|   Th I |  3428.0748 |    1 |     0 |       480 |   Keck+NIST |
|   Th I |  3429.6050 |    1 |     0 |      1200 |   Keck+NIST |
|   Th I |  3429.6973 |    1 |     0 |      1500 |   Keck+NIST |
|   Th I |  3429.9821 |    1 |     0 |      5100 |   Keck+NIST |
