# This spectrum, originally implemented in March 2004, was based on STIS
# observations and a 2003 Kurucz model. It was replaced 
# in September 2006 by a more recent spectrum described in Bohlin
# 2007, THE FUTURE OF PHOTOMETRIC, SPECTROPHOTOMETRIC AND POLARIMETRIC
# STANDARDIZATION, ASP Conference Series (in press).
#....................................................................
#
#      WAVELENGTH            FLUX
#       angstroms            flam
     1817.529   6.103800E-9
     1818.901   6.155900E-9
     1820.274   6.104400E-9
     1821.646   6.133500E-9
     1823.018   6.171400E-9
     1824.391   6.159900E-9
     1825.763   6.075900E-9
     1827.136   6.013200E-9
     1828.508   6.023700E-9
     1829.881   6.008100E-9
     1831.253   5.877600E-9
     1832.626   5.885100E-9
     1833.998   6.024100E-9
     1835.371   6.062800E-9
     1836.744   6.089400E-9
     1838.116   6.052500E-9
     1839.489   5.905500E-9
     1840.861   5.736900E-9
     1842.234   5.634200E-9
     1843.606   5.737400E-9
     1844.979   5.761700E-9
     1846.352   5.690300E-9
     1847.724   5.691400E-9
     1849.097   5.872000E-9
      1850.47   5.949400E-9
     1851.842   5.830600E-9
     1853.215   5.780700E-9
     1854.588   5.810700E-9
      1855.96   5.893000E-9
     1857.333   5.907300E-9
     1858.706   5.832000E-9
     1860.079   5.774000E-9
     1861.451   5.813300E-9
     1862.824   5.805800E-9
     1864.197   5.847900E-9
      1865.57   5.889400E-9
     1866.943   5.959600E-9
     1868.315   6.016700E-9
     1869.688   6.053000E-9
     1871.061   6.105300E-9
     1872.434   6.129400E-9
     1873.807   6.103700E-9
     1875.179   5.975200E-9
     1876.552   5.885700E-9
     1877.925   5.918400E-9
     1879.298   6.016800E-9
     1880.671   5.977300E-9
     1882.044   6.023200E-9
     1883.417   6.087400E-9
      1884.79   6.121600E-9
     1886.163   6.092100E-9
     1887.536   6.055100E-9
     1888.909   5.989600E-9
     1890.281   6.003000E-9
     1891.655   5.999100E-9
     1893.027   5.985200E-9
     1894.401   5.947100E-9
     1895.774   5.889200E-9
     1897.147   5.849500E-9
      1898.52   5.799000E-9
     1899.893   5.795400E-9
     1901.266   5.761100E-9
     1902.639   5.817400E-9
     1904.012   5.862400E-9
     1905.385   5.826600E-9
     1906.758   5.856800E-9
     1908.131   5.782300E-9
     1909.504   5.679800E-9
     1910.877   5.653300E-9
      1912.25   5.789500E-9
     1913.624   5.838000E-9
     1914.997   5.783500E-9
      1916.37   5.823500E-9
     1917.743   5.801000E-9
     1919.116   5.857900E-9
     1920.489   5.919000E-9
     1921.863   5.890000E-9
     1923.236   5.880300E-9
     1924.609   5.874200E-9
     1925.982   5.698800E-9
     1927.355   5.693100E-9
     1928.729   5.739900E-9
     1930.102   5.596300E-9
     1931.475   5.502400E-9
     1932.848   5.724300E-9
     1934.222   5.845400E-9
     1935.595   5.853600E-9
     1936.968   5.841800E-9
     1938.342   5.897400E-9
     1939.715   5.901700E-9
     1941.088   5.892700E-9
     1942.462   5.958400E-9
