# SIMPLE  =                    T / Written by IDL:  Tue Aug 19 16:14:18 2008
# BITPIX  =                  -32 / Number of bits per data pixel
# NAXIS   =                    2 / Number of data axes
# NAXIS1  =                21617 /
# NAXIS2  =                    3 /
# DATE    = '2008-08-20'         / Creation UTC (CCCC-MM-DD) date of FITS header
# NORDERS =                    1 / Number of Orders
# ORDERS  = '1       '           / Order Numbers
# NAPS    =                    1 / Number of Apertures
# XUNITS  = 'A      '           / Wavelength Units
# YUNITS  = 'ergss-1cm-2A-1'     / Flux Units
# COMMENT FITS (Flexible Image Transport System) format is defined in 'Astronomy
# COMMENT and Astrophysics', volume 376, page 359; bibcode 2001A&A...376..359H
# Converted vacuum by Feige Wang
# END
#      WAVELENGTH            FLUX    Flag
#       angstroms            flam     none
   2534.541584144462   3.91195e-09    1.0  
   2537.502277427351   3.62456e-09    1.0  
  2540.4729734714647   2.57943e-09    1.0  
   2543.433667587106   3.17332e-09    1.0  
  2546.4043644617254   2.91602e-09    1.0  
  2549.3650594000783   3.56834e-09    1.0  
  2552.3357570952176   3.00052e-09    1.0  
   2555.296452846414   4.24881e-09    1.0  
  2558.2671513522546   3.17909e-09    1.0  
  2561.2278479065935   2.97049e-09    1.0  
   2564.198547213484   3.26569e-09    1.0  
   2567.159244561426   4.10138e-09    1.0  
  2570.1299446598787   3.75636e-09    1.0  
  2573.0906427920486    3.8756e-09    1.0  
  2576.0613436727313   3.88702e-09    1.0  
  2579.0220425799093   3.55223e-09    1.0  
  2581.9927442336493   4.02749e-09    1.0  
  2584.9534439067666   4.16479e-09    1.0  
  2587.9241463245417   4.22689e-09    1.0  
  2590.8848467546813   4.11775e-09    1.0  
    2593.85554992762    3.9599e-09    1.0  
  2596.8162511060123   3.93191e-09    1.0  
  2599.7869550253854   2.33118e-09    1.0  
  2602.7476569434048   4.23905e-09    1.0  
  2605.7183616006287   3.98644e-09    1.0  
   2608.679064249788   2.91663e-09    1.0  
   2611.649769636417   3.78185e-09    1.0  
   2614.610473008369   3.80916e-09    1.0  
  2617.5811791160954    4.0233e-09    1.0  
   2620.541883202626   3.65551e-09    1.0  
   2623.512590023275   4.22289e-09    1.0  
   2626.473294816305   3.40313e-09    1.0  
  2629.4440023418333   3.37684e-09    1.0  
  2632.4047078334083   1.63218e-09    1.0  
  2635.3754160559015   4.33345e-09    1.0  
  2638.3361222381973    4.0092e-09    1.0  
  2641.3068311498637   4.04053e-09    1.0  
  2644.2675380151786   4.32595e-09    1.0  
  2647.2382476083535   4.12889e-09    1.0  
   2650.198955149106   3.98883e-09    1.0  
   2653.169665416243   4.16699e-09    1.0  
