|      wave | amplitude | ion | NIST | Instr |                         Source |
| 11988.729 |     137.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12024.232 |      95.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12030.837 |     266.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12055.844 |      93.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12120.406 |      69.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12122.632 |     649.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12131.036 |      21.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12131.711 |     0.111 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12132.872 |     0.111 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12135.952 |     249.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12141.653 |  1.17e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12142.893 |  1.69e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12143.975 |     0.178 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12148.646 |      8.93 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12154.871 |      90.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12154.999 |      90.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12229.206 |     467.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12257.777 |     183.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12287.158 |     526.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12325.925 |     154.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12351.329 |     383.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12400.967 |      93.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12422.967 |     209.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12423.727 |     209.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12459.492 |  0.000291 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12465.014 |   0.00102 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  12482.53 |      43.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12501.915 |      88.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12502.919 |      88.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12571.304 |      16.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12611.259 |  2.79e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  12617.98 |  8.38e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12667.352 |      4.62 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12668.117 |      4.62 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12682.442 |      8.19 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12683.997 |      8.19 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12698.686 |  2.08e-07 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12747.917 |      26.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12750.124 |      7.72 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12752.121 |  9.35e-07 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12752.731 |      74.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12759.447 |      1.82 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12760.893 |      36.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12764.344 |     163.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12770.952 |      1.07 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12776.159 |      0.35 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12777.032 |      72.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|   12782.5 |     271.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12784.423 |      1.81 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12786.286 |      1.81 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12834.534 |     103.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12903.508 |      73.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12905.702 |     696.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12921.099 |     274.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12943.104 |     103.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 12943.249 |     103.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  12985.55 |     149.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13052.006 |      2.54 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13085.086 |     576.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13127.821 |     173.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13130.338 |   0.00379 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13132.164 |   0.00379 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13140.356 |   0.00578 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13143.318 |   0.00578 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13157.079 |     434.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13210.769 |     110.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13267.579 |  0.000387 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13269.735 |  0.000387 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13276.776 |  0.000577 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13280.173 |  0.000577 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  13302.09 |      54.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13304.812 |   0.00201 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13324.135 |     111.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13325.231 |     111.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13387.105 |  0.000224 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13400.967 |      21.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13414.271 |  3.26e-05 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13416.787 |  3.26e-05 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13420.836 |      40.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13422.235 |      40.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13426.632 |  4.77e-05 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13508.731 |      6.61 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13509.527 |      6.61 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13526.471 |      11.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13528.201 |      11.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13570.917 |  2.29e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13573.831 |  2.29e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13577.796 |  5.85e-07 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13583.187 |   3.3e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13626.444 |      1.67 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13641.334 |      2.86 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13643.429 |      2.86 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13664.103 |      33.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13665.413 |      87.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13671.065 |      10.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13674.666 |      41.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13687.938 |      1.56 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13688.766 |  4.28e-08 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13692.057 |     286.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13747.749 |     104.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13821.996 |      73.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  13823.75 |     697.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13842.074 |     282.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13868.232 |     110.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13868.408 |     110.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13887.021 |    0.0588 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13888.679 |    0.0588 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13902.563 |      38.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13902.874 |      38.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13911.435 |     149.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 13984.418 |      3.09 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14022.035 |     591.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14059.022 |      61.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14069.825 |     182.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14086.954 |     363.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14103.009 |     462.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14107.094 |     171.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14119.064 |    0.0311 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14134.188 |     787.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14162.957 |     330.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14266.201 |      63.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14292.311 |     131.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 14293.537 |     131.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
